frame,camera_id,location,cars,bikes,buses,trucks,total_vehicles,queue_count,red_light_violations,rash_driving,timestamp
424,CAM-01,Primary Junction,1,4,0,0,5,1,0,10,2026-02-13T01:08:46
428,CAM-01,Primary Junction,1,4,0,0,5,1,0,10,2026-02-13T01:08:46
432,CAM-01,Primary Junction,1,5,0,0,6,1,0,10,2026-02-13T01:08:46
436,CAM-01,Primary Junction,1,4,0,0,5,1,0,10,2026-02-13T01:08:46
440,CAM-01,Primary Junction,2,3,0,0,5,2,0,10,2026-02-13T01:08:46
444,CAM-01,Primary Junction,1,4,0,0,5,1,0,10,2026-02-13T01:08:46
448,CAM-01,Primary Junction,1,4,1,0,6,2,0,10,2026-02-13T01:08:47
452,CAM-01,Primary Junction,1,3,1,0,5,2,0,10,2026-02-13T01:08:47
456,CAM-01,Primary Junction,1,3,0,0,4,1,0,10,2026-02-13T01:08:47
460,CAM-01,Primary Junction,0,3,0,0,3,0,0,10,2026-02-13T01:08:47
464,CAM-01,Primary Junction,0,3,0,0,3,0,0,10,2026-02-13T01:08:47
468,CAM-01,Primary Junction,0,3,0,0,3,0,0,10,2026-02-13T01:08:47
472,CAM-01,Primary Junction,0,3,0,0,3,0,0,10,2026-02-13T01:08:47
476,CAM-01,Primary Junction,0,4,1,0,5,1,0,10,2026-02-13T01:08:47
480,CAM-01,Primary Junction,0,3,1,0,4,1,0,10,2026-02-13T01:08:47
484,CAM-01,Primary Junction,1,5,0,0,6,1,0,10,2026-02-13T01:08:48
488,CAM-01,Primary Junction,2,7,0,0,9,2,0,11,2026-02-13T01:08:48
492,CAM-01,Primary Junction,2,6,0,0,8,2,0,11,2026-02-13T01:08:48
496,CAM-01,Primary Junction,2,5,0,0,7,2,0,11,2026-02-13T01:08:48
500,CAM-01,Primary Junction,4,4,0,0,8,4,0,11,2026-02-13T01:08:48
504,CAM-01,Primary Junction,2,4,0,0,6,2,0,11,2026-02-13T01:08:48
508,CAM-01,Primary Junction,3,6,0,1,10,4,0,11,2026-02-13T01:08:48
512,CAM-01,Primary Junction,3,6,0,1,10,4,0,11,2026-02-13T01:08:48
516,CAM-01,Primary Junction,3,7,0,1,11,4,0,12,2026-02-13T01:08:49
520,CAM-01,Primary Junction,2,6,0,1,9,3,0,12,2026-02-13T01:08:49
524,CAM-01,Primary Junction,3,5,0,1,9,4,0,12,2026-02-13T01:08:49
528,CAM-01,Primary Junction,3,7,0,1,11,4,0,13,2026-02-13T01:08:49
